restart|negative
restarting|negative
restarted|negative
raining|neutral
havemotorola|neutral
sleep|negative
saved|neutral
increase|neutral
replacements|neutral
eligible|neutral
supported|neutral
refunding|negative
swap|negative
restock|negative
worth|positive
placed|neutral
updated|neutral
risk|negative
void|negative
connects|neutral
handling|neutral
reinstalled|negative
screaming|negative
tagging|neutral
supports|neutral
upload|neutral
persisted|negative
guiding|neutral
heading|neutral
warns|negative
direct|neutral
resubmitted|negative
street|neutral
follow|neutral
shining|neutral
cooking|neutral
supplied|neutral
formatting|negative
conduct|neutral
told|neutral
deemed|neutral
wrapping|neutral
met|neutral
recertify|negative
seleted|neutral
aren't|neutral
k|neutral
changed|neutral
expedited|negative
mentor|neutral
changes|negative
explained|neutral
replace|neutral
brought|neutral
accessorizes|neutral
counts|neutral
recognozing|neutral
cheating|negative
spoke|neutral
would|neutral
backing|neutral
type|neutral
tell|neutral
visably|neutral
separated|neutral
posting|neutral
relay|neutral
brings|neutral
muse|negative
phone|neutral
hold|neutral
swtich|neutral
word|neutral
wore|negative
pursue|neutral
padisala|neutral
setup|neutral
mt|neutral
ms|neutral
salvage|negative
could|neutral
indicated|neutral
cited|negative
involve|neutral
indicates|neutral
reviewing|neutral
reseting|negative
totaled|neutral
end|neutral
travel|neutral
sitting|neutral
feature|neutral
righting|neutral
enquire|neutral
disappear|negative
answer|neutral
charging|neutral
replacing|negative
typed|neutral
confirmed|neutral
jumping|neutral
reamed|negative
purchase|neutral
amin|neutral
attempt|neutral
recieved|neutral
maintain|neutral
enter|neutral
operate|neutral
uninstalling|negative
over|neutral
deducted|negative
vara|neutral
activating|neutral
fit|neutral
writing|neutral
persist|negative
affected|negative
prevented|negative
notified|neutral
l|neutral
rocks|neutral
filling|neutral
went|neutral
interfering|neutral
notifies|neutral
rebooted|negative
signing|neutral
fourmonths|negative
ring|neutral
driving|neutral
god|negative
waive|neutral
hooked|negative
skincraft|neutral
got|neutral
turning|neutral
estimate|neutral
wanted|neutral
certified|neutral
ate|neutral
logging|neutral
created|neutral
starts|neutral
shipped|neutral
heck|negative
uses|neutral
resetting|negative
clouding|neutral
rang|neutral
hearing|neutral
hook|negative
burn-in|negative
vibrate|neutral
needed|neutral
confirming|neutral
listed|neutral
clikcing|neutral
nomis|neutral
listen|neutral
bouncing|neutral
leaking|negative
took|neutral
sync|neutral
wasted|negative
showed|neutral
enabled|neutral
sees|neutral
longs|neutral
navigate|neutral
ram|negative
talking|neutral
seen|neutral
seem|neutral
sounding|neutral
seek|neutral
tells|neutral
forced|negative
customise|neutral
desist|negative
causing|neutral
completed|neutral
shall|neutral
dial|neutral
optimized|neutral
asmita|neutral
assessed|neutral
sropped|negative
flamin|negative
moterola|neutral
assisting|neutral
don|neutral
emailing|neutral
givesme|neutral
flow|neutral
stating|neutral
reflecting|neutral
voting|neutral
mailing|neutral
annoyed|negative
came|neutral
reserve|neutral
saying|neutral
selected|neutral
contacted|neutral
4glten|neutral
ending|neutral
pops|neutral
implying|neutral
participate|neutral
touches|neutral
clicked|neutral
explain|neutral
touched|neutral
pursuing|neutral
announce|neutral
disconnecting|negative
wearing|neutral
do|neutral
de|neutral
watch|neutral
blinking|negative
shutting|negative
beleive|neutral
comply|neutral
runs|neutral
covering|neutral
reload|neutral
release|neutral
flagged|negative
respond|neutral
blew|negative
decides|neutral
reference|neutral
clarified|neutral
testing|neutral
recieve|neutral
bled|negative
depends|neutral
decided|neutral
submitted|neutral
restocking|neutral
said|neutral
sorta|neutral
rings|neutral
boguht|neutral
sais|neutral
wd|neutral
extend|neutral
tkank|positive
smelled|negative
packaged|neutral
suggested|neutral
received|neutral
cos|negative
heating|negative
receives|neutral
faces|neutral
requests|neutral
asked|neutral
appeared|neutral
loaded|neutral
speak|neutral
sha-ce05|neutral
been|neutral
restarts|negative
trigger|negative
refurbished|negative
expected|neutral
entered|neutral
threw|neutral
concerning|neutral
craft|neutral
tapping|neutral
catch|neutral
applied|neutral
melted|negative
stopping|negative
cracked|negative
voice|neutral
remembering|neutral
played|neutral
is|neutral
ii|neutral
trusted|negative
hone|neutral
containing|neutral
32zkz23c38hb|neutral
perform|neutral
suggest|neutral
realizing|neutral
syncs|neutral
descend|negative
synch|neutral
entitled|neutral
vibrates|neutral
hand|neutral
formated|negative
unsupported|negative
kept|neutral
hopping|negative
failing|negative
working\|positive
smoked|negative
left|neutral
she'll|neutral
assigned|neutral
identify|neutral
thanks|positive
adding|neutral
shoud|neutral
hab|neutral
had|neutral
synching/|neutral
ma'am|neutral
belongs|neutral
has|neutral
gave|neutral
opt|neutral
casting|neutral
burnt|negative
appearing|neutral
performing|neutral
remind|neutral
hung|negative
deal|neutral
sends|neutral
escape|neutral
finna|neutral
bottom|neutral
overdriving|negative
track|neutral
asking|neutral
denied|negative
beating|negative
pls|neutral
peel|negative
plz|neutral
disappeared|negative
post|neutral
deletes|negative
plug|neutral
yelling|negative
e-mailed|neutral
plus|neutral
overheats|negative
raised|negative
froze|negative
wasting|negative
pays|negative
obtaining|neutral
sow|neutral
wrap|neutral
stumble|negative
existed|neutral
rely|neutral
flying|neutral
inspected|negative
avail|neutral
stuck|negative
authorized|neutral
was|neutral
head|neutral
washed|negative
offering|neutral
attempted|neutral
landing|neutral
wireless|neutral
heat|negative
hear|neutral
fort|neutral
reset|negative
responding|neutral
plugged-in|neutral
attached|neutral
devices|neutral
submitting|neutral
attaches|neutral
delete|negative
diagnose|neutral
proved|neutral
quartzsite|neutral
westcott|neutral
shined|neutral
covers|neutral
guessed|neutral
reenter|neutral
promised|neutral
shines|neutral
check|neutral
constructed|neutral
encrypt|neutral
flood|negative
setting|neutral
holding|negative
test|neutral
depot|negative
roll|neutral
eversince|negative
dies|negative
update|neutral
fell|negative
rolling|neutral
unlocking|negative
apologizing|negative
happening|neutral
assume|neutral
grading|neutral
restored|neutral
scan/clean|neutral
managed|neutral
switched|neutral
skip|neutral
activated|neutral
switches|negative
displaying|neutral
recharge|neutral
depend|neutral
fastboot|neutral
flash|negative
answered|neutral
dissatisfied|negative
weakening|negative
suffered|negative
retype|negative
advises|neutral
ert|neutral
downloading|neutral
servicing|neutral
masturbate|negative
advised|neutral
locked|negative
airing|neutral
presented|neutral
did|neutral
turns|neutral
spped|neutral
leave|negative
p|neutral
settle|neutral
turna|neutral
prevent|neutral
dries|negative
talked|neutral
says|neutral
dealing|neutral
discover|neutral
sign|neutral
reinstalling|negative
appear|neutral
goes|negative
reply|neutral
falling|negative
filled|neutral
supporting|neutral
install|neutral
learn|neutral
understanding|neutral
water|neutral
knocked|negative
address|neutral
hadn't|neutral
along|neutral
appears|neutral
change|neutral
changing|negative
wait|neutral
sending|neutral
incoming|neutral
seaing|neutral
vibrating|neutral
bow|neutral
retired|negative
marked|neutral
acedetaly|neutral
gladwin|neutral
handled|neutral
prove|neutral
stated|neutral
visit|neutral
discnnected|negative
handles|neutral
wondering|neutral
selects|neutral
reorder|negative
introducing|neutral
scratches|negative
fly|neutral
valued|neutral
ahve|neutral
dialed|neutral
avoiding|neutral
flaking|negative
labeled|neutral
printing|neutral
can|neutral
following|neutral
making|neutral
arrive|neutral
bites|negative
synching|neutral
claim|neutral
corrupted|negative
figure|neutral
pauses|negative
didn't|negative
fuck|negative
heard|neutral
chargong|negative
performed|neutral
allowed|neutral
counting|neutral
occur|neutral
validated|neutral
means|neutral
write|neutral
sworn|negative
staying|neutral
listen)|neutral
may|neutral
crashed|negative
designed|neutral
date|neutral
guys|neutral
surfing|neutral
wiggle|negative
borrowing|neutral
switch|neutral
deposit|neutral
pulled|neutral
talk|neutral
refund|negative
approx|neutral
acts|neutral
discharging|negative
soing|negative
hiring|neutral
monitor|neutral
offers|neutral
mail|neutral
happened|neutral
halp|negative
emailed|neutral
finance|neutral
matches|neutral
noe|neutral
introduce|neutral
touching|neutral
whiteman|neutral
arriving|neutral
isolations|neutral
maintaining|neutral
bowling|neutral
repaired|negative
retrieve|negative
crushing|negative
directing|neutral
hurried|negative
unlock|negative
entering|neutral
et|neutral
happen|neutral
worried|negative
es|neutral
tried|neutral
shown|neutral
opened|neutral
factory|neutral
looking|neutral
contained|neutral
should|neutral
shouldn't|negative
sopke|neutral
suggesting|neutral
receiving|neutral
bugging|negative
shows|neutral
attended|neutral
goto|neutral
cart|neutral
wi-fi|neutral
couldn|neutral
parameswaran|neutral
initiate|neutral
place|neutral
discontinued|negative
waited|negative
guessing|neutral
spoken|neutral
coulnd't|neutral
overheating|negative
carry|neutral
sounds|neutral
forwarding|neutral
open|neutral
discharged|negative
given|neutral
checked|neutral
caught|neutral
slept|neutral
indicate|neutral
returns|neutral
typing|neutral
white|neutral
speaking|neutral
gives|neutral
mining|neutral
treid|neutral
released|neutral
remebering|neutral
copy|neutral
representing|neutral
appreciated|positive
cracks|negative
require|neutral
transferred|negative
protected|positive
booted|negative
were|neutral
accessed|neutral
20x|neutral
turned|neutral
say|neutral
rent|neutral
/span|neutral
exchanging|neutral
sells|neutral
saw|neutral
answering|neutral
instructed|neutral
intends|neutral
beeping|neutral
take|neutral
wanting|negative
coincide|neutral
switching|neutral
surf|neutral
begin|neutral
arguing|neutral
keeps|neutral
paid|neutral
falls|negative
2265040758(broken|neutral
printed|neutral
crochet|neutral
pair|neutral
cleared|neutral
inserted|neutral
fills|neutral
considered|neutral
alguna|neutral
clearing|neutral
redirected|neutral
dispersed|negative
filing|neutral
walking|neutral
discovered|neutral
crashing|negative
written|neutral
going|neutral
doesent|negative
posted|neutral
directed|neutral
thnak|positive
freezing|negative
cannot|negative
gee|neutral
installed|neutral
freaking|negative
regarding|neutral
recharged|neutral
requesting|neutral
tryn|neutral
finishing|neutral
emoto|neutral
elected|neutral
rma|neutral
anyways|neutral
ignores|negative
wonder|neutral
detect|neutral
registering|neutral
jumped|neutral
review|neutral
affecting|neutral
uninstalled|negative
reading|neutral
notice|neutral
screen|neutral
come|neutral
receded|negative
according|neutral
paring|neutral
s|neutral
dated|neutral
can't|neutral
period|neutral
pop|neutral
maintained|neutral
couldn't|neutral
ordered|neutral
guesstimate|neutral
sned|neutral
aiming|neutral
mounting|neutral
informed|neutral
escalated|neutral
mart|neutral
deposited|neutral
wants|neutral
reimburse|neutral
offered|neutral
wake|neutral
thnk|neutral
paying|neutral
developing|neutral
mount|neutral
cast|neutral
cancelled|negative
taking|neutral
bathe|neutral
sleeping|neutral
evening|neutral
punched|negative
ship|neutral
acess|neutral
shuts|negative
rooting|neutral
granted|neutral
locking|negative
figuring|neutral
verifies|neutral
document|neutral
buyy|neutral
extended|neutral
drives|neutral
running|neutral
validate|neutral
tracking|neutral
charges|neutral
charger|neutral
assinged|neutral
customized|neutral
costs|neutral
comes|neutral
charged|neutral
being|neutral
gavin|neutral
cease|neutral
6days|neutral
speed|neutral
hint|neutral
thinking|neutral
seems|neutral
except|neutral
lets|neutral
isn't<br|neutral
samples|neutral
disputing|negative
flashing|negative
silverberg|neutral
hover|neutral
kills|negative
read|neutral
discontinue|negative
gonna|neutral
loaned|neutral
listening|neutral
using|neutral
accepted|neutral
in-n-out|neutral
slain|negative
shrink|negative
facing|negative
5194746257(contact|neutral
t|neutral
served|neutral
reduced|negative
learning|neutral
lucy|neutral
provided|neutral
unlocked|neutral
hoping/and|negative
googled|neutral
stops|negative
provides|neutral
redid|neutral
restoring|neutral
refer|neutral
considering|neutral
accessing|neutral
power|neutral
malfunctioning|negative
manufactured|neutral
peeled/sctrached|negative
broken|negative
exciting|neutral
ok|neutral
package|neutral
meaning|neutral
puchaise|neutral
escalating|neutral
act|neutral
backup|neutral
researching|neutral
burning|negative
freaked|negative
stted|neutral
determine|neutral
apologize|negative
stare|negative
log|neutral
prepare|neutral
area|neutral
12139ending|neutral
removing|negative
distracted|negative
start|neutral
sealed|neutral
drains|negative
positioned|neutral
notate|neutral
locks|negative
wiping|negative
texted|neutral
buying|neutral
pull|neutral
hire|neutral
applying|neutral
gone|negative
required|neutral
migrate|neutral
describe|neutral
watches|neutral
examine|neutral
ar|neutral
walked|neutral
file|neutral
watched|neutral
moves|neutral
film|neutral
fill|neutral
verizon|neutral
rubbed|neutral
roses|neutral
requested|neutral
refunded|negative
includes|neutral
faxed|neutral
recognise|neutral
included|neutral
building|neutral
